pessoa_nome;pessoa_endereco;loja_nome;loja_endereco;distancia_km
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Shopping";"Rua Direita, 4532, Industrial, Salvador - BA - 96088-292";"1472,6585"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Shopping";"Rua Marechal Floriano, 664, Industrial, Belo Horizonte - MG - 94718-480";"502,0419"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Centro";"Av. Goiás, 3547, Boa Vista, São Paulo - SP - 96021-880";"13,0046"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Outlet";"Rua Primeiro de Maio, 4332, Jardim Europa, Rio de Janeiro - RJ - 89454-431";"341,6502"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Outlet";"Av. João Pessoa, 4134, Industrial, Belo Horizonte - MG - 91955-239";"492,8104"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Praça da Sé, 1490, Jardim América, Belo Horizonte - MG - 44437-275";"488,5392"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Av. João Pessoa, 4069, Jardim América, Salvador - BA - 60696-715";"2369,0337"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Av. Paulista, 3360, Cidade Nova, Curitiba - PR - 67263-526";"335,7266"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Express";"Av. Brasil, 265, Vila Rica, Rio de Janeiro - RJ - 74715-351";"354,1580"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Shopping";"Rua Primeiro de Maio, 4913, Industrial, Porto Alegre - RS - 12239-546";"855,7559"
